obs_date,source,metric,value,unit,note
2024-01-11,wikipedia,pageviews,7742,count,Grand_Theft_Auto_VI
2024-01-12,price,close,161.68,usd,
2024-01-12,price,pct_vs_entry,-35.328,pct,entry=250.0
2024-01-12,wikipedia,pageviews,7166,count,Grand_Theft_Auto_VI
2024-01-13,wikipedia,pageviews,6940,count,Grand_Theft_Auto_VI
2024-01-14,wikipedia,pageviews,7100,count,Grand_Theft_Auto_VI
2024-01-15,wikipedia,pageviews,6766,count,Grand_Theft_Auto_VI
2024-01-16,price,close,161.88,usd,
2024-01-16,price,pct_vs_entry,-35.248,pct,entry=250.0
2024-01-16,wikipedia,pageviews,6563,count,Grand_Theft_Auto_VI
2024-01-17,price,close,160.38,usd,
2024-01-17,price,pct_vs_entry,-35.848,pct,entry=250.0
2024-01-17,wikipedia,pageviews,6475,count,Grand_Theft_Auto_VI
2024-01-18,price,close,159.86,usd,
2024-01-18,price,pct_vs_entry,-36.056,pct,entry=250.0
2024-01-18,wikipedia,pageviews,7037,count,Grand_Theft_Auto_VI
2024-01-19,price,close,163.1,usd,
2024-01-19,price,pct_vs_entry,-34.76,pct,entry=250.0
2024-01-19,wikipedia,pageviews,7166,count,Grand_Theft_Auto_VI
2024-01-20,wikipedia,pageviews,7394,count,Grand_Theft_Auto_VI
2024-01-21,wikipedia,pageviews,7360,count,Grand_Theft_Auto_VI
2024-01-22,price,close,164.43,usd,
2024-01-22,price,pct_vs_entry,-34.228,pct,entry=250.0
2024-01-22,wikipedia,pageviews,6664,count,Grand_Theft_Auto_VI
2024-01-23,price,close,165.15,usd,
2024-01-23,price,pct_vs_entry,-33.94,pct,entry=250.0
2024-01-23,wikipedia,pageviews,6252,count,Grand_Theft_Auto_VI
2024-01-24,price,close,165.9,usd,
2024-01-24,price,pct_vs_entry,-33.64,pct,entry=250.0
2024-01-24,wikipedia,pageviews,6349,count,Grand_Theft_Auto_VI
2024-01-25,price,close,168.5,usd,
2024-01-25,price,pct_vs_entry,-32.6,pct,entry=250.0
2024-01-25,wikipedia,pageviews,6587,count,Grand_Theft_Auto_VI
2024-01-26,price,close,167.39,usd,
2024-01-26,price,pct_vs_entry,-33.044,pct,entry=250.0
2024-01-26,wikipedia,pageviews,6743,count,Grand_Theft_Auto_VI
2024-01-27,wikipedia,pageviews,7508,count,Grand_Theft_Auto_VI
2024-01-28,wikipedia,pageviews,7719,count,Grand_Theft_Auto_VI
2024-01-29,price,close,168.02,usd,
2024-01-29,price,pct_vs_entry,-32.792,pct,entry=250.0
2024-01-29,wikipedia,pageviews,7730,count,Grand_Theft_Auto_VI
2024-01-30,price,close,166.94,usd,
2024-01-30,price,pct_vs_entry,-33.224,pct,entry=250.0
2024-01-30,wikipedia,pageviews,7122,count,Grand_Theft_Auto_VI
2024-01-31,price,close,164.93,usd,
2024-01-31,price,pct_vs_entry,-34.028,pct,entry=250.0
2024-01-31,wikipedia,pageviews,6879,count,Grand_Theft_Auto_VI
2024-02-01,price,close,166.33,usd,
2024-02-01,price,pct_vs_entry,-33.468,pct,entry=250.0
2024-02-01,wikipedia,pageviews,6331,count,Grand_Theft_Auto_VI
2024-02-02,price,close,167.0,usd,
2024-02-02,price,pct_vs_entry,-33.2,pct,entry=250.0
2024-02-02,wikipedia,pageviews,6196,count,Grand_Theft_Auto_VI
2024-02-03,wikipedia,pageviews,6704,count,Grand_Theft_Auto_VI
2024-02-04,wikipedia,pageviews,6942,count,Grand_Theft_Auto_VI
2024-02-05,price,close,164.01,usd,
2024-02-05,price,pct_vs_entry,-34.396,pct,entry=250.0
2024-02-05,wikipedia,pageviews,6096,count,Grand_Theft_Auto_VI
2024-02-06,price,close,166.67,usd,
2024-02-06,price,pct_vs_entry,-33.332,pct,entry=250.0
2024-02-06,wikipedia,pageviews,6085,count,Grand_Theft_Auto_VI
2024-02-07,price,close,169.57,usd,
2024-02-07,price,pct_vs_entry,-32.172,pct,entry=250.0
2024-02-07,wikipedia,pageviews,6223,count,Grand_Theft_Auto_VI
2024-02-08,price,close,169.6,usd,
2024-02-08,price,pct_vs_entry,-32.16,pct,entry=250.0
2024-02-08,wikipedia,pageviews,6668,count,Grand_Theft_Auto_VI
2024-02-09,price,close,154.91,usd,
2024-02-09,price,pct_vs_entry,-38.036,pct,entry=250.0
2024-02-09,wikipedia,pageviews,6452,count,Grand_Theft_Auto_VI
2024-02-10,wikipedia,pageviews,6771,count,Grand_Theft_Auto_VI
2024-02-11,wikipedia,pageviews,6529,count,Grand_Theft_Auto_VI
2024-02-12,price,close,155.27,usd,
2024-02-12,price,pct_vs_entry,-37.892,pct,entry=250.0
2024-02-12,wikipedia,pageviews,5982,count,Grand_Theft_Auto_VI
2024-02-13,price,close,153.49,usd,
2024-02-13,price,pct_vs_entry,-38.604,pct,entry=250.0
2024-02-13,wikipedia,pageviews,5779,count,Grand_Theft_Auto_VI
2024-02-14,price,close,155.72,usd,
2024-02-14,price,pct_vs_entry,-37.712,pct,entry=250.0
2024-02-14,wikipedia,pageviews,5940,count,Grand_Theft_Auto_VI
2024-02-15,price,close,156.96,usd,
2024-02-15,price,pct_vs_entry,-37.216,pct,entry=250.0
2024-02-15,wikipedia,pageviews,5948,count,Grand_Theft_Auto_VI
2024-02-16,price,close,153.38,usd,
2024-02-16,price,pct_vs_entry,-38.648,pct,entry=250.0
2024-02-16,wikipedia,pageviews,6309,count,Grand_Theft_Auto_VI
2024-02-17,wikipedia,pageviews,6477,count,Grand_Theft_Auto_VI
2024-02-18,wikipedia,pageviews,6477,count,Grand_Theft_Auto_VI
2024-02-19,wikipedia,pageviews,6251,count,Grand_Theft_Auto_VI
2024-02-20,price,close,151.94,usd,
2024-02-20,price,pct_vs_entry,-39.224,pct,entry=250.0
2024-02-20,wikipedia,pageviews,6424,count,Grand_Theft_Auto_VI
2024-02-21,price,close,151.11,usd,
2024-02-21,price,pct_vs_entry,-39.556,pct,entry=250.0
